,reviews,purchased
0,My Favorite White Wine : This a fantastic white wine for any occasion!,
1,"Yum!! : Tart, not sweet...very refreshing and delicious!",
2,A New Favorite! : I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!!,
3,"Bold, Flavorful, Aromatic, Delicious : This is a phenomenal wine and my new favorite red.",
4,"Yum! Plus, Environmentally Friendly! : 4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldn't like the wine but it's fantastic! I have to go a bit out of my way to get it (I live near a state line and it isn't sold in my state due to liquor laws) but it's worth it.",
5,Great Taste : I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. It's the only NA that I drink. My friends love it too. It has a great head when you pour.,
6,Simply Wonderful : This wine has a wonderful but strong aroma its a bit bitter has a bite to it but still goodit was worth it in the end,
7,"A Sweet Red. : I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less.",
9,"Charles & Charles Red Blend : This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one.",
10,"This Wine Made My Party! : Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics.",
11,Nice Sparkling Wine Compared To Champagne : Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding!,
12,Great Nh Beer! : A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food!,
13,"Dry-Hopped Ipa! : This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",
14,"Dry-hopped Ipa! : This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",
15,Lovely! Try It! : Great for a perfect summer day or a get together with the girls.,
16,Fizzy Pinot Grigio? : I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.,
17,"Obsessed : Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :(",
18,"Great Wine : This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market.",
19,Excellent Cab......!!!!!!! : One of the best Cabernets I had in quite sometime......!!!!!!,
20,"Highly Recommended : This is a great buy for the price. Someone had given me a bottle and I liked the look of it so much that I didn't want to open it. Had no idea it was so nicely priced and so easily available. Finally opened it when I was in a bind, needing white wine for a favorite holiday recipe and this was all I had on hand. It's a nice, smooth Pinot, very nice flavor, pleasurable to the palate. What I especially love about this brand, however, is the bottle itself! Screw off the black top and there is a smaller neck with a cork closure. The beauty is that the black cap is designed so that it will reseal the bottle without the cork needing to be squeezed back in...a really thoughtful design. I almost hate to admit how much I was impressed by it! Will be stopping by Target specifically to buy more to have in the house. Highly recommend.",
21,Michelob Ultra Light Cider : Gluten free plus lower on calories plus very refreshing!,
22,Please Don't Discontinue This Flavor Combination! : Best of the bunch of all of The wine Cube sku's. Target Wine Buyer: please bring back!,
23,"Wine Is Good - The Cube Is Not : I like the wine and I like the idea of a sealed cube during the week when only drinking a glass or two at a time. But when they re-sized the box a few months ago, it made it impossible to open and setup properly. While I applaud Target for reducing the packaging, this just isn't working.",
24,"Could Not Believe The Taste : I have tried my share of Moscato D' Astis before, this has to be the smoothest that I have ever tried. Not too sweet or too fizzy but perfect. I got it for the pretty bottle but was very surprised about the taste. Try it, you won't be disappointed.",
25,"My New Fave! : Highly, highly recommend!! It's sweet but not syrupy- just right! And I love that it's bubbly, I don't have to mix my wine with seltzer anymore!",
28,"Who Can Say No To Awesome $5 Wine : This wine is amazing! I'm an avid wine drinker (mom life) and I'll continue to buy this for sure. For 5 it's a steal! Keep this around please, it's just another reason to love target!",
29,Good Wine For Beginners... : Love it that it's not too dry or overly sweet. Also has a good balance of alcohol.,
30,Fantastic Wine : This wine was sooooo good. I usually don't like Cabernet but this special fermented wine is very tasty. It did not stay around too long.LOL.,
31,The Cube Riesling : Some of the best boxed wine I have ever tasted. Great taste and great value.,
32,Perfect For Summer : Love this Moscato and will be purchasing more on my next Target run. Let it chill in the fridge and enjoy on a hot summer day.,
33,We Loved It! : Had my sissies (sistafriends) over for dinner/planning meeting....and they're still talking about the loving fellowship and the great wine! I hope the store has more than 1 bottle left on its shelves!!!,
34,Yum! : Great fruity dry rose!,
35,"An Outstanding Table Wine : Is this the greatest wine in the world, of course not. It is an eminently drinkable wine,as a matter of fact it is my preferred, and go to, table wine. Wine is a personal thing but for me it is my 1 pick in the under 10 category. It is well balanced, subtle, and very easy to sip. Dry without being overpowering. It is not a big bad Cabernet but it is not that in a good way. Goes great by itself or paired with cheese or a dish sauced with something heavier like a bernaise. I always have a bottle on my shelf.",
36,"New Go To White : Delicious white wine! Light, crisp, not too sweet. Almost too good.",
37,No No No No No.... No : Just bad wine. The worst I have ever had. Try Bota Box Sarah is you are looking for a decent boxed wine.,
38,"Love This Love Noir : I am no wine expert by any means, but I love a good red for dinner or a cold night. This is the ticket. Rich, dark, fruity! Just lovely. The hubby liked it too!",
39,Best Wine I Ever Tasted : Best wine I ever tasted,
40,"Excellent Chardonnay : not fruity, very satisfying. my go to chardonnay! excellent product - would expect to pay 10 / bottle for this quality",
41,"Vintner's Red Boxed Wine : Picked some up on a trip to the beach as they are portable non breakable and priced right! I didn't know what to expect, honestly, my expectations were not too high, being boxed wine and all. I was pleasantly surprised! It is very drinkable delicious! When I got home I returned to Target to get the large wine cube box for at home enjoyment!",
42,"Great Sauvignon Blanc Even Compared To Medium-Priced Bottles : By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",
43,"Great Sauvignon Blanc Even Compared To Medium-priced Bottles : By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",
45,"Great Wine For The Price. : I didnt find this to be sweet at all, but everyones taste differs. I usually dont like sweet wines so I gravitate towards Chardonnay and some Sauvignon Blancs and I felt like this one had more of a buttery taste than a sweet citrusy taste like another reviewer stated. For the price, this is definitely a keeper.",
46,Love It! : My boyfriend brought this home on a whim. We were delighted at how tasty it was. Lasted us a couple weeks - even better!,
47,Delicious! : I love Disaronno. It has a smooth texture and the flavor is lightly sweet. It's decadent on the rocks or with a little cream.,
